Statistic Label,Area of Residence,ICD 10 Diagnostic Group,Year,UNIT,VALUE
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Diseases of the circulatory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Diseases of the respiratory system,2007,No. per 1000 Pop.,0.64
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Diseases of the respiratory system,2008,No. per 1000 Pop.,0.78
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Diseases of the respiratory system,2009,No. per 1000 Pop.,0.57
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Diseases of the respiratory system,2010,No. per 1000 Pop.,0.63
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Diseases of the respiratory system,2011,No. per 1000 Pop.,0.68
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Diseases of the respiratory system,2012,No. per 1000 Pop.,0.68
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Diseases of the respiratory system,2013,No. per 1000 Pop.,0.97
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Diseases of the respiratory system,2014,No. per 1000 Pop.,0.86
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Diseases of the respiratory system,2015,No. per 1000 Pop.,0.76
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Diseases of the respiratory system,2016,No. per 1000 Pop.,0.92
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,Diseases of the respiratory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,External causes of injury and poisoning,2007,No. per 1000 Pop.,0.33
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,External causes of injury and poisoning,2008,No. per 1000 Pop.,0.38
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,External causes of injury and poisoning,2009,No. per 1000 Pop.,0.41
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,External causes of injury and poisoning,2010,No. per 1000 Pop.,0.38
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,External causes of injury and poisoning,2011,No. per 1000 Pop.,0.39
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,External causes of injury and poisoning,2012,No. per 1000 Pop.,0.38
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,External causes of injury and poisoning,2013,No. per 1000 Pop.,0.31
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,External causes of injury and poisoning,2014,No. per 1000 Pop.,0.4
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,External causes of injury and poisoning,2015,No. per 1000 Pop.,0.45
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,External causes of injury and poisoning,2016,No. per 1000 Pop.,0.33
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",South Tipperary,External causes of injury and poisoning,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Neoplasms,2007,No. per 1000 Pop.,1.89
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Neoplasms,2008,No. per 1000 Pop.,2.14
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Neoplasms,2009,No. per 1000 Pop.,1.92
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Neoplasms,2010,No. per 1000 Pop.,1.94
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Neoplasms,2011,No. per 1000 Pop.,2.3
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Neoplasms,2012,No. per 1000 Pop.,1.82
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Neoplasms,2013,No. per 1000 Pop.,2.34
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Neoplasms,2014,No. per 1000 Pop.,2.73
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Neoplasms,2015,No. per 1000 Pop.,2.53
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Neoplasms,2016,No. per 1000 Pop.,2.05
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Neoplasms,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Diseases of the circulatory system,2007,No. per 1000 Pop.,1.98
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Diseases of the circulatory system,2008,No. per 1000 Pop.,1.84
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Diseases of the circulatory system,2009,No. per 1000 Pop.,2.01
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Diseases of the circulatory system,2010,No. per 1000 Pop.,1.78
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Diseases of the circulatory system,2011,No. per 1000 Pop.,2.12
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Diseases of the circulatory system,2012,No. per 1000 Pop.,1.85
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Diseases of the circulatory system,2013,No. per 1000 Pop.,2.33
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Diseases of the circulatory system,2014,No. per 1000 Pop.,1.97
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Diseases of the circulatory system,2015,No. per 1000 Pop.,2.22
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Diseases of the circulatory system,2016,No. per 1000 Pop.,2.1
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Diseases of the circulatory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Diseases of the respiratory system,2007,No. per 1000 Pop.,0.79
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Diseases of the respiratory system,2008,No. per 1000 Pop.,0.69
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Diseases of the respiratory system,2009,No. per 1000 Pop.,0.85
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Diseases of the respiratory system,2010,No. per 1000 Pop.,0.9
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Diseases of the respiratory system,2011,No. per 1000 Pop.,0.73
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Diseases of the respiratory system,2012,No. per 1000 Pop.,0.79
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Diseases of the respiratory system,2013,No. per 1000 Pop.,0.55
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Diseases of the respiratory system,2014,No. per 1000 Pop.,0.72
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Diseases of the respiratory system,2015,No. per 1000 Pop.,0.69
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Diseases of the respiratory system,2016,No. per 1000 Pop.,0.82
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,Diseases of the respiratory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,External causes of injury and poisoning,2007,No. per 1000 Pop.,0.47
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,External causes of injury and poisoning,2008,No. per 1000 Pop.,0.23
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,External causes of injury and poisoning,2009,No. per 1000 Pop.,0.61
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,External causes of injury and poisoning,2010,No. per 1000 Pop.,0.34
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,External causes of injury and poisoning,2011,No. per 1000 Pop.,0.34
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,External causes of injury and poisoning,2012,No. per 1000 Pop.,0.43
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,External causes of injury and poisoning,2013,No. per 1000 Pop.,0.26
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,External causes of injury and poisoning,2014,No. per 1000 Pop.,0.25
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,External causes of injury and poisoning,2015,No. per 1000 Pop.,0.38
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,External causes of injury and poisoning,2016,No. per 1000 Pop.,0.33
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford City,External causes of injury and poisoning,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford County,Neoplasms,2007,No. per 1000 Pop.,1.93
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford County,Neoplasms,2008,No. per 1000 Pop.,2.37
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Waterford County,Neoplasms,2009,No. per 1000 Pop.,2.21
